"","lane","study","species","gene"
"4321","28099_1_212","DASSIM","e_coli","CmlA1"
"4342","28099_1_214","DASSIM","e_coli","CatB4"
"4361","28099_1_216","DASSIM","e_coli","CmlA1"
"4378","28099_1_217","DASSIM","e_coli","CatB4"
"4394","28099_1_218","DASSIM","e_coli","CatA1"
"4414","28099_1_220","DASSIM","e_coli","CatB4"
"4455","28099_1_224","DASSIM","e_coli","CmlA1"
"4480","28099_1_226","DASSIM","e_coli","CatA1"
"4519","28099_1_230","DASSIM","e_coli","CatA1"
"4573","28099_1_236","DASSIM","e_coli","CatA1"
"4613","28099_1_240","DASSIM","e_coli","CmlA1"
"4668","28099_1_245","DASSIM","e_coli","CatA1"
"4669","28099_1_245","DASSIM","e_coli","CatB4"
"4700","28099_1_248","DASSIM","e_coli","CatA1"
"4718","28099_1_249","DASSIM","e_coli","CatA1"
"4734","28099_1_250","DASSIM","e_coli","CatA1"
"4756","28099_1_252","DASSIM","e_coli","CatB4"
"4772","28099_1_253","DASSIM","e_coli","CatB4"
"4805","28099_1_256","DASSIM","e_coli","CatB4"
"4862","28099_1_261","DASSIM","e_coli","CatB4"
"4877","28099_1_264","DASSIM","e_coli","CatA1"
"4909","28099_1_268","DASSIM","e_coli","CatB4"
"5011","28099_1_280","DASSIM","e_coli","CatA1"
"5012","28099_1_280","DASSIM","e_coli","CatB4"
"5059","28099_1_284","DASSIM","e_coli","CmlA1"
"5075","28099_1_285","DASSIM","e_coli","CatB3"
"5102","28099_1_288","DASSIM","e_coli","CatB4"
"5163","28099_1_297","DASSIM","e_coli","CatA1"
"5164","28099_1_297","DASSIM","e_coli","CatB4"
"5179","28099_1_300","DASSIM","e_coli","CatB4"
"5209","28099_1_302","DASSIM","e_coli","CatA1"
"5225","28099_1_303","DASSIM","e_coli","CatA1"
"5302","28099_1_311","DASSIM","e_coli","CatB4"
"5332","28099_1_314","DASSIM","e_coli","CatB4"
"5349","28099_1_315","DASSIM","e_coli","CatA1"
"5366","28099_1_317","DASSIM","e_coli","CatA1"
"5385","28099_1_318","DASSIM","e_coli","CatB4"
"5403","28099_1_319","DASSIM","e_coli","CatB4"
"5446","28099_1_323","DASSIM","e_coli","CatA1"
"5447","28099_1_323","DASSIM","e_coli","CatB4"
"5463","28099_1_325","DASSIM","e_coli","CatA1"
"5464","28099_1_325","DASSIM","e_coli","CatB4"
"5483","28099_1_326","DASSIM","e_coli","CatB4"
"5502","28099_1_327","DASSIM","e_coli","CatB4"
"5523","28099_1_329","DASSIM","e_coli","CatA1"
"5524","28099_1_329","DASSIM","e_coli","CatB4"
"5544","28099_1_330","DASSIM","e_coli","CatA1"
"5560","28099_1_331","DASSIM","e_coli","CatB4"
"5562","28099_1_331","DASSIM","e_coli","FloR"
"5592","28099_1_334","DASSIM","e_coli","CatB4"
"5628","28099_1_337","DASSIM","e_coli","CatB4"
"5648","28099_1_338","DASSIM","e_coli","CatB4"
"5664","28099_1_339","DASSIM","e_coli","CatA1"
"5680","28099_1_341","DASSIM","e_coli","CatB4"
"5706","28099_1_343","DASSIM","e_coli","CatA1"
"5733","28099_1_346","DASSIM","e_coli","CatA1"
"5753","28099_1_347","DASSIM","e_coli","CatA1"
"5754","28099_1_347","DASSIM","e_coli","CatB4"
"5785","28099_1_350","DASSIM","e_coli","CatA1"
"5786","28099_1_350","DASSIM","e_coli","CatB4"
"5843","28099_1_355","DASSIM","e_coli","CatA1"
"5856","28099_1_357","DASSIM","e_coli","CatB4"
"5883","28099_1_359","DASSIM","e_coli","CatA1"
"5914","28099_1_362","DASSIM","e_coli","CatA1"
"5957","28099_1_366","DASSIM","e_coli","CatB4"
"5974","28099_1_367","DASSIM","e_coli","CatB4"
"6057","28099_1_377","DASSIM","e_coli","CatB4"
"6075","28099_1_378","DASSIM","e_coli","CatB4"
"6094","28099_1_379","DASSIM","e_coli","CatA1"
"6095","28099_1_379","DASSIM","e_coli","CatB4"
"6153","28099_2_3","DASSIM","e_coli","CmlA1"
"6217","28099_2_32","DASSIM","e_coli","CmlA1"
"6228","28099_2_36","DASSIM","e_coli","CmlA1"
"6271","28099_2_48","DASSIM","e_coli","CatA1"
"6315","28099_2_64","DASSIM","e_coli","CmlA1"
"6331","28099_2_76","DASSIM","e_coli","CatB4"
"6359","28099_2_84","DASSIM","e_coli","CatA1"
"6374","28099_2_88","DASSIM","e_coli","CatA1"
"6400","28099_2_96","DASSIM","e_coli","CatB4"
"6418","28099_2_97","DASSIM","e_coli","CatB4"
"6434","28099_2_101","DASSIM","e_coli","CatB4"
"6452","28099_2_105","DASSIM","e_coli","CatB4"
"6484","28099_2_113","DASSIM","e_coli","CatB4"
"6500","28099_2_117","DASSIM","e_coli","CatB4"
"6517","28099_2_121","DASSIM","e_coli","CatA1"
"6518","28099_2_121","DASSIM","e_coli","CatB4"
"6562","28099_2_138","DASSIM","e_coli","CatB4"
"6615","28099_2_154","DASSIM","e_coli","CatB4"
"6641","28099_2_162","DASSIM","e_coli","CatA1"
"6655","28099_2_166","DASSIM","e_coli","CatA1"
"6722","28099_2_186","DASSIM","e_coli","CmlA1"
"6732","28099_2_190","DASSIM","e_coli","CatA1"
"6733","28099_2_190","DASSIM","e_coli","CatB3"
"6772","28099_2_206","DASSIM","e_coli","CatB4"
"6837","28099_2_223","DASSIM","e_coli","CatB3"
"6838","28099_2_223","DASSIM","e_coli","CmlA1"
"6888","28099_2_239","DASSIM","e_coli","CatB4"
"6933","28099_2_251","DASSIM","e_coli","CatA1"
"6971","28099_2_259","DASSIM","e_coli","CatA1"
"6986","28099_2_263","DASSIM","e_coli","CatB4"
"6988","28099_2_263","DASSIM","e_coli","FloR"
"7003","28099_2_283","DASSIM","e_coli","CatA1"
"7057","28099_2_295","DASSIM","e_coli","CatB4"
"7074","28099_2_299","DASSIM","e_coli","CmlA1"
"7090","28099_2_304","DASSIM","e_coli","CatA1"
"7118","28099_2_316","DASSIM","e_coli","CatB4"
"7135","28099_2_320","DASSIM","e_coli","CatB4"
"7149","15966_8_34","musicha","e_coli","CatA1"
"7177","15966_8_35","musicha","e_coli","CatA1"
"7208","15966_8_41","musicha","e_coli","CatA1"
"7220","16228_1_42","musicha","e_coli","CatA1"
"7243","15966_8_4","musicha","e_coli","CatA1"
"7256","15966_8_33","musicha","e_coli","CatA1"
"7280","15966_8_52","musicha","e_coli","CatA1"
"7302","15966_8_58","musicha","e_coli","CatA1"
"7349","15966_8_22","musicha","e_coli","CatA1"
"7361","15966_8_64","musicha","e_coli","CatA1"
"7377","15966_8_68","musicha","e_coli","CatA1"
"7394","15966_8_71","musicha","e_coli","CatA1"
"7395","15966_8_71","musicha","e_coli","CatB3"
"7413","15966_8_75","musicha","e_coli","CatA1"
"7432","15966_8_77","musicha","e_coli","CatA1"
"7445","15966_8_10","musicha","e_coli","CatA1"
"7466","15966_8_43","musicha","e_coli","CatA1"
"7477","15966_8_62","musicha","e_coli","CatA1"
"7486","15966_8_55","musicha","e_coli","CatA1"
"7495","15966_8_56","musicha","e_coli","CatA1"
"7507","15966_8_61","musicha","e_coli","CatA1"
"7518","16228_1_16","musicha","e_coli","CatA1"
"7529","15966_8_2","musicha","e_coli","CatA1"
"7531","15966_8_2","musicha","e_coli","FloR"
"7563","16228_1_24","musicha","e_coli","CatA1"
"7581","15966_8_30","musicha","e_coli","CatA1"
"7593","15966_8_37","musicha","e_coli","CatA1"
"7606","16228_1_20","musicha","e_coli","CatA1"
"7608","16228_1_20","musicha","e_coli","FloR"
"7630","15966_8_46","musicha","e_coli","CatA1"
"7641","15966_8_47","musicha","e_coli","CatA1"
"7652","16228_1_17","musicha","e_coli","CatA1"
"7675","15966_8_39","musicha","e_coli","CatA1"
"7698","15966_8_49","musicha","e_coli","CatA1"
"7717","15966_8_59","musicha","e_coli","CatA1"
"7741","15966_8_76","musicha","e_coli","CatA1"
"7742","15966_8_76","musicha","e_coli","CatA2"
"7766","15966_8_1","musicha","e_coli","CatA1"
"7783","15966_8_16","musicha","e_coli","CatA1"
"7799","15966_8_66","musicha","e_coli","CatA1"
"7800","15966_8_66","musicha","e_coli","CatA2"
"7820","15966_8_69","musicha","e_coli","CatA1"
"7834","15966_8_11","musicha","e_coli","CatA1"
"7847","15966_8_70","musicha","e_coli","CatA1"
"7872","16228_1_43","musicha","e_coli","CatA1"
"7900","15966_8_82","musicha","e_coli","CatA1"
"7915","15966_8_84","musicha","e_coli","CatA1"
"7930","16228_1_22","musicha","e_coli","CatA1"
"7945","16228_1_44","musicha","e_coli","CatA1"
"7946","16228_1_44","musicha","e_coli","CatA2"
"7972","15966_8_5","musicha","e_coli","CatA1"
"7987","15966_8_79","musicha","e_coli","CatA1"
"7988","15966_8_79","musicha","e_coli","CatB4"
"8030","15966_8_17","musicha","e_coli","CatA1"
"8051","15966_8_6","musicha","e_coli","CatA1"
"8084","15966_8_65","musicha","e_coli","CatA1"
"8085","15966_8_65","musicha","e_coli","CatB3"
"8112","16228_1_47","musicha","e_coli","CatA2"
"8133","15966_8_63","musicha","e_coli","CatA1"
"8151","15966_8_67","musicha","e_coli","CatA1"
"8185","15966_8_81","musicha","e_coli","CatA1"
"8203","15966_8_85","musicha","e_coli","CatA1"
"8239","15966_8_72","musicha","e_coli","CatA1"
"8241","15966_8_72","musicha","e_coli","CmlA5"
"8259","16228_1_41","musicha","e_coli","CatA1"
"8272","15966_8_28","musicha","e_coli","CatA1"
"8285","15966_8_29","musicha","e_coli","CatA1"
"8297","15966_8_32","musicha","e_coli","CatA1"
"8311","15966_8_78","musicha","e_coli","CatA1"
"8313","15966_8_78","musicha","e_coli","FloR"
"8325","15966_8_25","musicha","e_coli","CatA1"
"8335","15966_8_42","musicha","e_coli","CatA1"
"8347","15966_8_45","musicha","e_coli","CatA1"
"8391","15966_8_57","musciha","KpSC","CatA1"
"8420","15966_8_87","musciha","KpSC","CatA1"
"8435","15966_8_91","musciha","KpSC","CatA2"
"8451","15966_8_95","musciha","KpSC","CatA2"
"8465","15966_8_95","musciha","KpSC","CmlA5"
